# Program: ./chanconfig.pl  Version 1.21 2018-04-09 13:44 claude
# Generated by dcmgr@transform at 2021/09/16 17:45:06
# Modified by awk on Fri Sep 17 15:56:44 PDT 2021
# DB: dcucb  connect: dcucb  user: eew
# progname: EEW_UCB
# Epoch time: 2021/09/16 17:45:06
# distinct: distinct
# override: 0
# clipcheck: 1
# dupcheck: 1
# gaincheck: 1
# zcheck: 1
# showsensortype: 1
# showgroundmotionclip: 1
# showazdip: 1

#columns: network station location channel latitude longitude elevation samplerate gain units groundmotionclip azimuth dip sensortype
BK  BL67 00 HNZ 37.8749 -122.2432   736.2   100.00  4.277771e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 Kinemetrics FBA ES-T Accel. (2 g max 10 v/g)
BK  BL88 00 HNE 37.8772 -122.2543   602.2   100.00  2.141321e+05            DU/M/S**2        UNKNOWN  90.0   0.0 Kinemetrics FBA ES-T Accel. (4 g max 5 v/g)
BK  BL88 00 HNN 37.8772 -122.2543   602.2   100.00  2.141321e+05            DU/M/S**2        UNKNOWN   0.0   0.0 Kinemetrics FBA ES-T Accel. (4 g max 5 v/g)
BK  BL88 00 HNZ 37.8772 -122.2543   602.2   100.00  2.141663e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 Kinemetrics FBA ES-T Accel. (4 g max 5 v/g)
BK  BLUE 00 BHE 38.3423 -120.3646  1840.5    40.00  3.165060e+08               DU/M/S        UNKNOWN  90.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BLUE 00 BHN 38.3423 -120.3646  1840.5    40.00  3.165060e+08               DU/M/S        UNKNOWN   0.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BLUE 00 BHZ 38.3423 -120.3646  1840.5    40.00  3.165060e+08               DU/M/S       0.026667   0.0 -90.0 MBB-2,Velocity Sensor,EQMET
BK  BLUE 00 HHE 38.3423 -120.3646  1840.5   100.00  3.148010e+08               DU/M/S        UNKNOWN  90.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BLUE 00 HHN 38.3423 -120.3646  1840.5   100.00  3.148010e+08               DU/M/S        UNKNOWN   0.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BLUE 00 HHZ 38.3423 -120.3646  1840.5   100.00  3.148010e+08               DU/M/S       0.026667   0.0 -90.0 MBB-2,Velocity Sensor,EQMET
BK  BLUE 00 HNE 38.3423 -120.3646  1840.5   100.00  2.138680e+05            DU/M/S**2        UNKNOWN  90.0   0.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BLUE 00 HNN 38.3423 -120.3646  1840.5   100.00  2.142110e+05            DU/M/S**2        UNKNOWN   0.0   0.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BLUE 00 HNZ 38.3423 -120.3646  1840.5   100.00  2.144160e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BONV 00 BHE 38.9874 -123.3486   196.9    40.00  3.145730e+08               DU/M/S        UNKNOWN  88.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BONV 00 BHN 38.9874 -123.3486   196.9    40.00  3.145730e+08               DU/M/S        UNKNOWN 358.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BONV 00 BHZ 38.9874 -123.3486   196.9    40.00  3.145730e+08               DU/M/S       0.026667   0.0 -90.0 MBB-2,Velocity Sensor,EQMET
BK  BONV 00 HHE 38.9874 -123.3486   196.9   100.00  3.145730e+08               DU/M/S        UNKNOWN  88.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BONV 00 HHN 38.9874 -123.3486   196.9   100.00  3.145730e+08               DU/M/S        UNKNOWN 358.0   0.0 MBB-2,Velocity Sensor,EQMET
BK  BONV 00 HHZ 38.9874 -123.3486   196.9   100.00  3.145730e+08               DU/M/S       0.026667   0.0 -90.0 MBB-2,Velocity Sensor,EQMET
BK  BONV 00 HNE 38.9874 -123.3486   196.9   100.00  2.141920e+05            DU/M/S**2        UNKNOWN  90.0   0.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BONV 00 HNN 38.9874 -123.3486   196.9   100.00  2.143290e+05            DU/M/S**2        UNKNOWN   0.0   0.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BONV 00 HNZ 38.9874 -123.3486   196.9   100.00  2.141920e+05            DU/M/S**2        UNKNOWN   0.0 -90.0 EPISENSOR ES-T,Accelerometer,KINEMETRICS
BK  BRIB 01 BHE 37.9193 -122.1527   237.0    40.00  6.234584e+08               DU/M/S        UNKNOWN  90.0   0.0 CMG-3T-PH
BK  BRIB 01 BHN 37.9193 -122.1527   237.0    40.00  6.218199e+08               DU/M/S        UNKNOWN   0.0   0.0 CMG-3T-PH
